Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
23,K275,I.S. 518 - BROOKLYN,SCA IEH,IEH PO18-CEILING FROM HALLWAY,Construction,Complete,8/14/2017,IEH,8/20/2017,IEH,14604,7072,DSF: 0000048125
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,Scope,Complete,6/23/2015,11/21/2016,12/22/2016,52529,66369,61689,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,Design,Complete,1/23/2017,6/22/2017,5/9/2017,210114,132019,124438,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,Construction,PNS,PNS,PNS,PNS,3939640,3939640,24740,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,"CM, F&E",PNS,PNS,PNS,PNS,245133,245133,94219,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA IEH,IEH PO18-RM 307,Construction,In-Progress,12/19/2017,IEH,,IEH,5526,1026,DSF: 0000049808
23,K284,P.S. 284 - BROOKLYN,DOE- RESOA,FY09 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/19/2010,DOER,,50000,50000,0,DSF: 0000623079
23,K284,P.S. 284 - BROOKLYN,DOE - Skilled Trades,AUDITORIUM STAIRS,Construction,In-Progress,8/11/2015,DOES,,DOES,322785,33489,DSF: 0000827950
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,Scope,Complete,2/13/2017,4/13/2017,4/25/2017,10128,9862,9862,DSF: 0000865825
28,Q139,P.S. 139 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,9/5/2017,10/5/2017,10/27/2017,50000,50000,49414,DSF: 0000845192
28,Q140,P.S. 140 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/2017,DOES,,DOES,170000,921,DSF: 0000866035
28,Q140,P.S. 140 - QUEENS,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,1/15/2016,10/1/2016,8/15/2016,50000,50000,50000,DSF: 0000844890
28,Q140,P.S. 140 - QUEENS,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,10/21/2016,10/15/2016,8/15/2017,210000,210000,210000,DSF: 0000844890
28,Q140,P.S. 140 - QUEENS,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,9/1/2017,6/30/2018,,630000,630000,200000,DSF: 0000844890
28,Q140,P.S. 140 - QUEENS,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,F&E,PNS,PNS,PNS,PNS,157500,157500,0,DSF: 0000844890
28,Q142,J.H.S. 142,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,316,316,DSF: 0000011991
28,Q142,J.H.S. 142,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,28954,28954,DSF: 0000011991
28,Q142,J.H.S. 142,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,9/6/2006,10/10/2006,,77000,21821,19743,DSF: 0000011991
28,Q142,J.H.S. 142,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,9/6/2006,10/10/2006,,12240,18489,18489,DSF: 0000011991
28,Q142,Q752 SPED - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/5/2017,7/5/2017,9/29/2017,75000,74438,74438,DSF: 0000845515
28,Q144,P.S. 144 - QUEENS,SCA Capacity,ADDITION,Scope,Complete,12/2/2015,4/19/2016,5/19/2016,1309344,1039266,1036281,DSF: 0000798209
28,Q144,P.S. 144 - QUEENS,SCA Capacity,ADDITION,Design,Complete,5/20/2016,12/2/2016,4/10/2017,4189902,3563261,1753918,DSF: 0000798209
28,Q144,P.S. 144 - QUEENS,SCA Capacity,ADDITION,Construction,In-Progress,7/13/2017,7/1/2020,,58763373,53285051,2156855,DSF: 0000798209
28,Q144,P.S. 144 - QUEENS,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,7/13/2017,7/1/2020,,8275056,3209246,510873,DSF: 0000798209
28,Q144,P.S. 144 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,11/29/2017,11/29/2017,11/29/2017,3684,0,0,DSF: 0000888775
28,Q144,P.S. 144 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,In-Progress,11/29/2017,5/2/2018,,13509,13509,0,DSF: 0000888775
28,Q144,P.S. 144 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,143076,143076,0,DSF: 0000888775
28,Q144,P.S. 144 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,33159,33159,0,DSF: 0000888775
28,Q144,P.S. 144 - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/13/2017,8/14/2017,8/1/2017,0,7605,7605,DSF: 0000844833
28,Q144,P.S. 144 - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,14403,62767,1017,DSF: 0000844833
28,Q144,P.S. 144 - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,211240,1032129,0,DSF: 0000844833
28,Q144,P.S. 144 - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,14403,70372,0,DSF: 0000844833
28,Q144,P.S. 144 - QUEENS,DOE- RESOA,FY17 RESO A TOILETS-STUDENTS,Construction,In-Progress,8/4/2017,DOER,,116667,79055,79055,DSF: 0000844827
28,Q144,P.S. 144 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,12/1/2017,DOER,,0,6090,0,DSF: 0000867400
28,Q144,P.S. 144 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/2017,DOES,,DOES,340000,2312,DSF: 0000866037
28,Q157,J.H.S. 157 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / DANCE STUDIO,Scope,Complete,1/19/2016,5/18/2016,2/12/2016,0,12185,12185,DSF: 0000822889
28,Q157,J.H.S. 157 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / DANCE STUDIO,Design,Complete,5/18/2016,10/19/2016,10/13/2016,22347,73935,36707,DSF: 0000822889
28,Q157,J.H.S. 157 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / DANCE STUDIO,Construction,In-Progress,2/1/2017,1/31/2018,,327757,277121,97355,DSF: 0000822889
28,Q157,J.H.S. 157 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / DANCE STUDIO,"CM, F&E",In-Progress,2/1/2017,1/31/2018,,28987,47865,41477,DSF: 0000822889
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,37140,37140,3330,DSF: 0000844835
28,Q160,P.S. 160 - QUEENS,SCA CIP,CHIMNEY/ROOFS/PARAPETS/FLOOD,Scope,Complete,10/22/2014,3/12/2015,5/1/2015,154802,121892,120943,"DSF: 0000801051, 0000813516, 0000822250, 0000822251"
28,Q160,P.S. 160 - QUEENS,SCA CIP,CHIMNEY/ROOFS/PARAPETS/FLOOD,Design,Complete,8/19/2015,1/25/2016,5/31/2016,609705,560467,449513,"DSF: 0000801051, 0000813516, 0000822250, 0000822251"
28,Q160,P.S. 160 - QUEENS,SCA CIP,CHIMNEY/ROOFS/PARAPETS/FLOOD,Construction,In-Progress,1/18/2017,1/17/2019,,10579254,9509306,4433767,"DSF: 0000801051, 0000813516, 0000822250, 0000822251"
28,Q160,P.S. 160 - QUEENS,SCA CIP,CHIMNEY/ROOFS/PARAPETS/FLOOD,"CM, F&E",In-Progress,1/18/2017,1/17/2019,,845923,294199,254389,"DSF: 0000801051, 0000813516, 0000822250, 0000822251"
28,Q160,P.S. 160 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,Complete,2/17/2017,4/17/2017,4/4/2017,0,22007,22007,DSF: 0000844983
28,Q160,P.S. 160 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,Complete,4/4/2017,9/1/2017,5/12/2017,24462,29466,25063,DSF: 0000844983
28,Q160,P.S. 160 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,6/22/2017,12/18/2017,,358772,221721,3144,DSF: 0000844983
28,Q160,P.S. 160 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",In-Progress,6/22/2017,12/18/2017,,24462,19627,3253,DSF: 0000844983
28,Q161,P.S. 161 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/11/2017,1/15/2018,8/7/2017,35000,34737,34737,DSF: 0000844516
28,Q161,P.S. 161 - QUEENS,DOE- RESOA,FY14 RESO A PLAYGROUND REDEVELOPMEN,Construction,In-Progress,9/30/2014,DOER,,150000,150000,0,DSF: 0000798676
28,Q161,P.S. 161 - QUEENS,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,8/31/2017,DOER,,150000,160350,160350,DSF: 0000844988
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,Complete,2/3/2017,6/6/2017,5/16/2017,0,16903,16903,DSF: 0000844834
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,Complete,5/17/2017,10/18/2017,10/20/2017,33000,51095,19654,DSF: 0000844834
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,484000,484000,0,DSF: 0000844834
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,33000,33000,2852,DSF: 0000844834
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/20/2017,8/21/2017,8/1/2017,0,9704,9704,DSF: 0000822888
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,Complete,8/7/2017,11/9/2017,11/22/2017,18000,4078,4078,DSF: 0000822888
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,264000,569510,0,DSF: 0000822888
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,18000,38830,3981,DSF: 0000822888
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,Scope,Complete,1/12/2016,5/12/2016,2/24/2016,0,19073,4782,"DSF: 0000822715, 0000822886"
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,Design,Complete,2/24/2016,7/25/2016,5/16/2016,45085,82705,21092,"DSF: 0000822715, 0000822886"
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,Construction,Complete,10/3/2016,6/29/2017,9/6/2017,661249,466448,201088,"DSF: 0000822715, 0000822886"
28,Q174,P.S. 174 - QUEENS,SCA CIP RESOA,FY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,"CM, F&E",Complete,10/3/2016,6/29/2017,9/6/2017,86460,97059,87272,"DSF: 0000822715, 0000822886"
28,Q174,P.S. 174 - QUEENS,SCA IEH,"IEH PO18-ROOMS 214, 15, 18",Construction,In-Progress,3/11/2016,IEH,,IEH,6732,2232,DSF: 0000040406
28,Q174,P.S. 174 - QUEENS,SCA IEH,IEH PO18-ROOM 219,Construction,In-Progress,5/24/2017,IEH,,IEH,4756,256,DSF: 0000046946
28,Q174,P.S. 174 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,12/1/2017,DOER,,0,6069,0,DSF: 0000867399
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,In-Progress,3/7/2017,5/8/2017,,0,13843,735,DSF: 0000844835
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,37140,23297,2940,DSF: 0000844835
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,544720,544720,7774,DSF: 0000844835
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/20/2017,8/21/2017,7/25/2017,0,8062,8062,DSF: 0000822885
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,13500,91093,1551,DSF: 0000822885
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,198000,1454278,0,DSF: 0000822885
28,Q175,P.S. 175 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,13500,99155,0,DSF: 0000822885
28,Q175,P.S. 175 - QUEENS,SCA IEH,IEH PO18-3RD FLOOR CORRIDOR CEILING,Construction,Complete,5/14/2014,IEH,8/24/2017,IEH,544,544,DSF: 0000030435
28,Q175,P.S. 175 - QUEENS,SCA IEH,IEH PO18-1ST FLOOR HALLWAY BY ROOMS 132 & 136,Construction,Complete,10/28/2014,IEH,8/24/2017,IEH,293,293,DSF: 0000032517
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,ROOFS,Scope,In-Progress,12/18/2017,5/4/2018,,29814,29814,0,DSF: 0000880533
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,ROOFS,Design,PNS,PNS,PNS,PNS,119256,119256,0,DSF: 0000880533
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,ROOFS,Construction,PNS,PNS,PNS,PNS,2236044,2236044,0,DSF: 0000880533
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,139132,139132,0,DSF: 0000880533
28,Q190,J.H.S. 190 - QUEENS,SCA IEH,IEH PO18-3RD FLOOR CORRIDORS,Construction,Complete,8/14/2014,IEH,8/28/2017,IEH,250703,5397,DSF: 0000031579
28,Q190,J.H.S. 190 - QUEENS,SCA IEH,IEH PO18-KITCHEN SERVING AREA,Construction,Complete,10/24/2017,IEH,12/31/2017,IEH,5664,1164,DSF: 0000049085
28,Q190,J.H.S. 190 - QUEENS,DOE- RESOA,FY17 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,9/20/2017,DOER,,35000,46216,46216,DSF: 0000844831
28,Q190,J.H.S. 190 - QUEENS,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,2/7/2017,DOES,,DOES,384954,0,DSF: 0000844711
28,Q196,P.S. 196 - QUEENS,SCA IEH,IEH PO18-AUDITORIUM,Construction,Complete,5/11/2017,IEH,9/1/2017,IEH,22077,2436,DSF: 0000046685
28,Q196,P.S. 196 - QUEENS,SCA IEH,IEH PO18-BOILER ROOM  PIPE CHASE,Construction,Complete,9/19/2017,IEH,9/25/2017,IEH,14598,1904,DSF: 0000048745
28,Q196,P.S. 196 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/7/2017,6/30/2017,8/28/2017,35000,34733,34733,DSF: 0000844526
28,Q196,P.S. 196 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,12/1/2017,DOER,,0,6090,0,DSF: 0000867395
28,Q206,P.S. 206 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867353
28,Q206,P.S. 206 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867353
28,Q206,P.S. 206 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867353
28,Q206,P.S. 206 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867353
28,Q206,P.S. 206 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,12/1/2017,DOER,,0,6090,0,DSF: 0000867398
28,Q217,I.S. 217 - QUEENS,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,Complete,5/3/2017,7/20/2017,6/12/2017,111974,39744,39744,"DSF: 0000791125, 0000798373"
28,Q217,I.S. 217 - QUEENS,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Design,Complete,6/27/2017,11/29/2017,11/2/2017,447899,161306,159758,"DSF: 0000791125, 0000798373"
28,Q217,I.S. 217 - QUEENS,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Construction,PNS,PNS,PNS,PNS,8398109,8398109,53641,"DSF: 0000791125, 0000798373"
28,Q217,I.S. 217 - QUEENS,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,"CM, F&E",PNS,PNS,PNS,PNS,522549,522549,26674,"DSF: 0000791125, 0000798373"
28,Q217,I.S. 217 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867234
28,Q217,I.S. 217 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000867234
28,Q217,I.S. 217 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000867234
28,Q217,I.S. 217 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000867234
28,Q217,I.S. 217 - QUEENS,SCA IEH,IEH PO18-CRAWL SPACE AND RISOR,Construction,In-Progress,9/26/2016,IEH,,IEH,6838,3338,DSF: 0000043066
28,Q217,I.S. 217 - QUEENS,DOE- RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Construction,Complete,4/10/2017,8/29/2017,8/29/2017,175626,175627,175627,DSF: 0000844836
28,Q220,P.S. 220 - QUEENS,SCA IEH,IEH PO18-ROOM B27,Construction,Complete,8/16/2017,IEH,8/31/2017,IEH,14394,2320,DSF: 0000048189
28,Q220,P.S. 220 - QUEENS,SCA IEH,IEH PO18-B31 FAN ROOM,Construction,Complete,10/23/2017,IEH,11/12/2017,IEH,24277,2960,DSF: 0000049047
28,Q220,P.S. 220 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,12/1/2017,DOER,,0,6090,0,DSF: 0000867396
28,Q220,P.S. 220 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/2017,DOES,,DOES,170000,802,DSF: 0000866046
28,Q276,Q075 SPED - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,6/21/2017,10/30/2017,,75000,74435,74435,DSF: 0000845527
28,Q277,P.S. 182 - QUEENS,DOE- RESOA,FY16 RESO A SAFETY SYSTEMS,Construction,In-Progress,8/19/2017,DOER,,65000,12702,12702,DSF: 0000822788
28,Q440,FOREST HILLS HS,SCA CIP,CONCRETE PAVED AREAS,Scope,Complete,6/24/2008,10/17/2008,10/20/2008,69260,80811,80811,DSF: 0000614358
28,Q440,FOREST HILLS HS,SCA CIP,CONCRETE PAVED AREAS,Design,Complete,11/3/2008,4/14/2009,3/22/2010,242410,782289,767164,DSF: 0000614358
28,Q440,FOREST HILLS HS,SCA CIP,CONCRETE PAVED AREAS,Construction,In-Progress,7/12/2010,9/4/2011,,3930505,10273555,10374395,DSF: 0000614358
28,Q440,FOREST HILLS HS,SCA CIP,CONCRETE PAVED AREAS,"CM, F&E",In-Progress,7/12/2010,9/4/2011,,277040,2563479,2452817,DSF: 0000614358
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP,HAZARDOUS VIOLATION/EXTERIOR DOORS,Scope,Complete,6/20/2012,11/19/2012,2/11/2013,96945,42522,42522,"DSF: 0000021454, 0000791601"
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP,HAZARDOUS VIOLATION/EXTERIOR DOORS,Design,Complete,5/23/2013,10/24/2013,11/14/2013,385485,241053,234661,"DSF: 0000021454, 0000791601"
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP,HAZARDOUS VIOLATION/EXTERIOR DOORS,Construction,PNS,PNS,PNS,PNS,7021785,7021785,15190,"DSF: 0000021454, 0000791601"
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP,HAZARDOUS VIOLATION/EXTERIOR DOORS,"CM, F&E",PNS,PNS,PNS,PNS,482256,482256,29279,"DSF: 0000021454, 0000791601"
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866398
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,60000,60000,0,DSF: 0000866398
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,880000,880000,0,DSF: 0000866398
28,Q440,FOREST HILLS HS - QUEENS,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,60000,60000,0,DSF: 0000866398
28,Q440,FOREST HILLS HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,433,433,DSF: 0000011843
28,Q440,FOREST HILLS HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,13152,13152,DSF: 0000011843
28,Q440,FOREST HILLS HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,5/16/2006,5/31/2007,,77000,137800,134836,DSF: 0000011843
28,Q440,FOREST HILLS HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,5/16/2006,5/31/2007,,12240,25107,25107,DSF: 0000011843
28,Q440,FOREST HILLS HS - QUEENS,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,7/10/2017,DOER,,118438,118438,118438,DSF: 0000844830
28,Q440,FOREST HILLS HS - QUEENS,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,9/30/2016,DOES,,DOES,44144,44144,DSF: 0000844713
28,Q470,JAMAICA HS,SCA CIP,EXTERIOR STAIRS,Scope,Complete,12/9/2008,3/16/2009,8/27/2009,18767,4429,4429,DSF: 0000411513
28,Q470,JAMAICA HS,SCA CIP,EXTERIOR STAIRS,Design,PNS,PNS,PNS,PNS,68813,68813,46771,DSF: 0000411513
28,Q470,JAMAICA HS,SCA CIP,EXTERIOR STAIRS,Construction,PNS,PNS,PNS,PNS,728790,728790,1189,DSF: 0000411513
28,Q470,JAMAICA HS,SCA CIP,EXTERIOR STAIRS,"CM, F&E",PNS,PNS,PNS,PNS,168904,168904,6868,DSF: 0000411513
28,Q470,QUEENS COLLEGIATE SCHOOL,SCA CIP,WEST AREAWAY DRAINS,Scope,Complete,11/2/2016,11/2/2016,11/2/2016,15000,1287,1287,DSF: 0000845574
28,Q470,QUEENS COLLEGIATE SCHOOL,SCA CIP,WEST AREAWAY DRAINS,Design,In-Progress,11/2/2016,4/7/2017,,55000,55000,5150,DSF: 0000845574
28,Q470,QUEENS COLLEGIATE SCHOOL,SCA CIP,WEST AREAWAY DRAINS,Construction,PNS,PNS,PNS,PNS,582500,582500,0,DSF: 0000845574
28,Q470,QUEENS COLLEGIATE SCHOOL,SCA CIP,WEST AREAWAY DRAINS,"CM, F&E",PNS,PNS,PNS,PNS,135000,135000,992,DSF: 0000845574
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,Construction,In-Progress,6/29/2017,7/29/2018,,393304,350579,6926,DSF: 0000865825
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,"CM, F&E",In-Progress,6/29/2017,7/29/2018,,91152,43331,13732,DSF: 0000865825
23,K298,I.S. 363 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,Scope,Complete,2/2/2017,4/3/2017,3/17/2017,13420,13386,13386,DSF: 0000828143
23,K298,I.S. 363 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,Design,Complete,3/17/2017,8/16/2017,5/15/2017,49208,42515,29882,DSF: 0000828143
23,K298,I.S. 363 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,Construction,In-Progress,6/30/2017,2/24/2018,,521162,471314,21743,DSF: 0000828143
23,K298,I.S. 363 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,"CM, F&E",In-Progress,6/30/2017,2/24/2018,,120784,51827,21761,DSF: 0000828143
